state,longitude,latitude,risk,pixel_area_sqkm
Assam,90.44733,26.839415,0.6177071,0.008887261
Assam,90.44822,26.839415,0.6177071,0.008887261
Assam,90.42936,26.838516,0.057970405,0.00888733
Assam,90.44822,26.838516,0.6177071,0.00888733
Assam,90.44733,26.837618,0.6177071,0.008887398
Assam,90.44822,26.837618,0.6177071,0.008887398
Assam,90.414085,26.83672,0.6182838,0.008887468
Assam,90.414986,26.83672,0.6182838,0.008887468
Assam,90.45541,26.834024,0.085948296,0.008887675
Assam,90.45451,26.832228,0.6191652,0.0088878125
Assam,90.45631,26.832228,0.6191652,0.0088878125
Assam,90.45181,26.83133,0.6191652,0.008887881
Assam,90.45271,26.83133,0.6191652,0.008887881
Assam,90.45361,26.83133,0.6191652,0.008887881
Assam,90.45451,26.83133,0.6191652,0.008887881
Assam,90.45541,26.83133,0.6191652,0.008887881
Assam,90.45721,26.83133,0.6191652,0.008887881
Assam,90.475174,26.83133,0.60679,0.008887881
Assam,90.45181,26.830431,0.6191652,0.008887951
Assam,90.45271,26.830431,0.6191652,0.008887951
Assam,90.45361,26.830431,0.6191652,0.008887951
Assam,90.45451,26.830431,0.6191652,0.008887951
Assam,90.45541,26.830431,0.6191652,0.008887951
Assam,90.45631,26.830431,0.6191652,0.008887951
Assam,90.45721,26.830431,0.6191652,0.008887951
Assam,90.45811,26.830431,0.6191652,0.008887951
Assam,90.41678,26.829533,0.61294323,0.008888019
Assam,90.45181,26.829533,0.6191652,0.008888019
Assam,90.45271,26.829533,0.6191652,0.008888019
Assam,90.45451,26.829533,0.6191652,0.008888019
Assam,90.45541,26.829533,0.6191652,0.008888019
Assam,90.45631,26.829533,0.6191652,0.008888019
Assam,90.45811,26.829533,0.6191652,0.008888019
Assam,90.415886,26.828634,0.61294323,0.008888089
Assam,90.45181,26.828634,0.6191652,0.008888089
Assam,90.45271,26.828634,0.6191652,0.008888089
Assam,90.45361,26.828634,0.6191652,0.008888089
Assam,90.45451,26.828634,0.6191652,0.008888089
Assam,90.45541,26.828634,0.6191652,0.008888089
Assam,90.45631,26.828634,0.6191652,0.008888089
Assam,90.45181,26.827736,0.6191652,0.008888157
Assam,90.45271,26.827736,0.6191652,0.008888157
Assam,90.45361,26.827736,0.6191652,0.008888157
Assam,90.45451,26.827736,0.6191652,0.008888157
Assam,90.45541,26.827736,0.6191652,0.008888157
Assam,90.45631,26.827736,0.6191652,0.008888157
Assam,90.45181,26.826838,0.6191652,0.008888227
Assam,90.45271,26.826838,0.6191652,0.008888227
Assam,90.45361,26.826838,0.6191652,0.008888227
Assam,90.45451,26.826838,0.6191652,0.008888227
Assam,90.45541,26.826838,0.6191652,0.008888227
Assam,90.45631,26.826838,0.6191652,0.008888227
Assam,90.291016,26.825941,0.068493426,0.008888296
Assam,90.29461,26.825941,0.068493426,0.008888296
Assam,90.353,26.825941,0.6176208,0.008888296
Assam,90.3539,26.825941,0.6176208,0.008888296
Assam,90.45271,26.825941,0.6191652,0.008888296
Assam,90.45361,26.825941,0.6191652,0.008888296
Assam,90.45541,26.825941,0.6191652,0.008888296
Assam,90.45631,26.825941,0.6191652,0.008888296
Assam,90.290115,26.825043,0.068493426,0.008888364
Assam,90.29461,26.825043,0.068493426,0.008888364
Assam,90.353,26.825043,0.6176208,0.008888364
Assam,90.3539,26.825043,0.6176208,0.008888364
Assam,90.45181,26.825043,0.6191652,0.008888364
Assam,90.45271,26.825043,0.6191652,0.008888364
Assam,90.45361,26.825043,0.6191652,0.008888364
Assam,90.45631,26.825043,0.6191652,0.008888364
Assam,90.291016,26.824144,0.068493426,0.008888434
Assam,90.291916,26.824144,0.068493426,0.008888434
Assam,90.292816,26.824144,0.068493426,0.008888434
Assam,90.29461,26.824144,0.068493426,0.008888434
Assam,90.3548,26.824144,0.6176208,0.008888434
Assam,90.45181,26.824144,0.6191652,0.008888434
Assam,90.45271,26.824144,0.6191652,0.008888434
Assam,90.45361,26.824144,0.6191652,0.008888434
Assam,90.45451,26.824144,0.6191652,0.008888434
Assam,90.28652,26.823246,0.068493426,0.008888503
Assam,90.28742,26.823246,0.068493426,0.008888503
Assam,90.28832,26.823246,0.068493426,0.008888503
Assam,90.291016,26.823246,0.06748692,0.008888503
Assam,90.291916,26.823246,0.06748692,0.008888503
Assam,90.292816,26.823246,0.06748692,0.008888503
Assam,90.29371,26.823246,0.06748692,0.008888503
Assam,90.29461,26.823246,0.06748692,0.008888503
Assam,90.29551,26.823246,0.06748692,0.008888503
Assam,90.3548,26.823246,0.6176849,0.008888503
Assam,90.3557,26.823246,0.6176849,0.008888503
Assam,90.35659,26.823246,0.6176849,0.008888503
Assam,90.35749,26.823246,0.6176849,0.008888503
Assam,90.45181,26.823246,0.08457058,0.008888503
Assam,90.45271,26.823246,0.08457058,0.008888503
Assam,90.28473,26.822348,0.068493426,0.0088885715
Assam,90.28563,26.822348,0.068493426,0.0088885715
Assam,90.28652,26.822348,0.068493426,0.0088885715
Assam,90.28742,26.822348,0.068493426,0.0088885715
Assam,90.28832,26.822348,0.068493426,0.0088885715
Assam,90.291916,26.822348,0.06748692,0.0088885715
Assam,90.3548,26.822348,0.6176849,0.0088885715
Assam,90.35749,26.822348,0.6176849,0.0088885715
Assam,90.35839,26.822348,0.6176849,0.0088885715
Assam,90.45181,26.822348,0.08457058,0.0088885715
Assam,90.45271,26.822348,0.08457058,0.0088885715
Assam,90.46169,26.822348,0.043708317,0.0088885715
Assam,90.28832,26.82145,0.068493426,0.00888864
Assam,90.28922,26.82145,0.068493426,0.00888864
Assam,90.33504,26.82145,0.072757564,0.00888864
Assam,90.33593,26.82145,0.072757564,0.00888864
Assam,90.3557,26.82145,0.6176849,0.00888864
Assam,90.35839,26.82145,0.6176849,0.00888864
Assam,90.35929,26.82145,0.6176849,0.00888864
Assam,90.45181,26.82145,0.08457058,0.00888864
Assam,90.28922,26.82055,0.068493426,0.008888709
Assam,90.29371,26.82055,0.06748692,0.008888709
Assam,90.29641,26.82055,0.06748692,0.008888709
Assam,90.33414,26.82055,0.61721915,0.008888709
Assam,90.33504,26.82055,0.072757564,0.008888709
Assam,90.33593,26.82055,0.072757564,0.008888709
Assam,90.35749,26.82055,0.6176849,0.008888709
Assam,90.35839,26.82055,0.6176849,0.008888709
Assam,90.35929,26.82055,0.6176849,0.008888709
Assam,90.36018,26.82055,0.6176849,0.008888709
Assam,90.45181,26.82055,0.08457058,0.008888709
Assam,90.281136,26.819653,0.068493426,0.008888778
Assam,90.2973,26.819653,0.06748692,0.008888778
Assam,90.2982,26.819653,0.06748692,0.008888778
Assam,90.33414,26.819653,0.61721915,0.008888778
Assam,90.33504,26.819653,0.072757564,0.008888778
Assam,90.35839,26.819653,0.6176849,0.008888778
Assam,90.35929,26.819653,0.6176849,0.008888778
Assam,90.36018,26.819653,0.6176849,0.008888778
Assam,90.361084,26.819653,0.6176849,0.008888778
Assam,90.41858,26.819653,0.03833415,0.008888778
Assam,90.50751,26.819653,0.61147165,0.008888778
Assam,90.3,26.818754,0.07519906,0.008888847
Assam,90.33414,26.818754,0.61721915,0.008888847
Assam,90.35929,26.818754,0.6176849,0.008888847
Assam,90.36018,26.818754,0.6176849,0.008888847
Assam,90.361084,26.818754,0.6176849,0.008888847
Assam,90.361984,26.818754,0.6178131,0.008888847
Assam,90.362885,26.818754,0.6178131,0.008888847
Assam,90.282036,26.817856,0.068493426,0.008888916
