system:index,loss_label,past_loss,rainfall_anomaly,rainfall_total,spi,treecover2000,.geo
14,0,0,-107.14745763055998,2584.798785030842,-0.18106041828359662,80,"{""type"":""Point"",""coordinates"":[74.5927815761483,34.53877691550013]}"
17,0,0,1545.7731293439865,17677.916177153587,0.5324919642072222,89,"{""type"":""Point"",""coordinates"":[95.23503333357422,28.082866172511068]}"
22,0,0,-1135.9508175120227,12346.212960422039,-0.4534710772352141,48,"{""type"":""Point"",""coordinates"":[74.1801657926985,15.122562095614583]}"
34,0,0,763.4182673491541,6565.432127177715,0.6409189837894406,25,"{""type"":""Point"",""coordinates"":[80.72697620734046,23.49781126781353]}"
44,0,0,2457.0791421622034,15353.112629115582,0.7680155708004108,39,"{""type"":""Point"",""coordinates"":[90.5014791776205,26.000772371724477]}"
45,0,0,1716.4665174619768,11504.777261018753,0.7006686850554914,80,"{""type"":""Point"",""coordinates"":[93.44555466572736,24.88238757561403]}"
46,0,0,1306.6244031794376,11035.165050983429,0.6375439631233324,89,"{""type"":""Point"",""coordinates"":[93.61382136322551,27.12345448177185]}"
56,1,0,1203.3804867986582,13102.26098293066,0.49837058965274433,88,"{""type"":""Point"",""coordinates"":[95.39534133802778,27.182908512296923]}"
77,0,0,1382.3941845297813,11852.462168335915,0.6770452246811811,73,"{""type"":""Point"",""coordinates"":[94.97012266318828,26.51784031970362]}"
83,0,0,1657.2089865296475,13050.531515955925,0.6500027909767626,87,"{""type"":""Point"",""coordinates"":[92.6691040930899,23.455322363728307]}"
92,0,0,-97.68000651119837,7098.560943003744,-0.06621878951498837,46,"{""type"":""Point"",""coordinates"":[80.66236926553024,28.553224769389075]}"
104,0,0,1941.104445266723,12659.661596775055,0.9373546533967285,30,"{""type"":""Point"",""coordinates"":[94.68396337717688,28.258023621234194]}"
138,0,0,238.8815305111657,6881.175669550896,0.2122684908182762,51,"{""type"":""Point"",""coordinates"":[80.48211383581183,20.38407561952567]}"
157,0,0,96.82870798744716,6978.219257622957,0.06927492497651978,46,"{""type"":""Point"",""coordinates"":[80.6703643083946,18.94958164608094]}"
164,0,0,776.6697297824085,7004.638493359089,0.6003807536291901,26,"{""type"":""Point"",""coordinates"":[80.65008917975939,23.514365072501008]}"
166,1,0,-158.28391317894875,6735.90255343914,-0.12207846007937717,64,"{""type"":""Point"",""coordinates"":[81.33269710275921,17.462048077927626]}"
211,0,0,501.3545275535698,7457.184091448784,0.35950701225891907,50,"{""type"":""Point"",""coordinates"":[81.13963003797373,19.272332049077892]}"
217,0,0,969.5282521873705,12013.150883674622,0.44047450334555305,90,"{""type"":""Point"",""coordinates"":[95.60210043430875,27.05477266439541]}"
225,0,0,-1212.622943601751,13244.492099195719,-0.44839938425323,59,"{""type"":""Point"",""coordinates"":[74.05726703683888,15.037080945367332]}"
229,1,0,-641.8548967885799,16970.028448561206,-0.19566331893879876,47,"{""type"":""Point"",""coordinates"":[75.26252886590697,13.022051772720578]}"
