system:index,loss_label,past_loss,rainfall_anomaly,rainfall_total,spi,treecover2000,.geo
4,0,0,906.7911115884781,10384.340541362762,0.4795809685384439,85,"{""type"":""Point"",""coordinates"":[93.36983818520507,26.39788789081271]}"
5,0,0,1824.531485070609,15037.048858463764,0.6498539079554035,63,"{""type"":""Point"",""coordinates"":[91.78382151233697,24.043989903671292]}"
7,0,0,724.7863501644579,6462.553692519665,0.9129209333467002,26,"{""type"":""Point"",""coordinates"":[78.65350827482929,11.336081863071525]}"
10,0,0,1372.7040292859074,11122.351262927055,0.5629460956648772,88,"{""type"":""Point"",""coordinates"":[93.4239714086544,24.617470162348255]}"
12,1,0,2901.5701695303032,22543.27178272605,0.7499278842965375,94,"{""type"":""Point"",""coordinates"":[92.62390659676969,11.994924828910788]}"
29,0,0,1040.1194682416208,14062.59387254715,0.42502694000901603,47,"{""type"":""Point"",""coordinates"":[91.67351780677728,23.74356352585391]}"
84,0,0,807.6104160914201,15790.905204117298,0.22578260688972973,42,"{""type"":""Point"",""coordinates"":[90.28166057201713,25.270874813953448]}"
114,0,0,2678.6485582968235,20685.54606947303,0.7406220099118137,31,"{""type"":""Point"",""coordinates"":[75.12023627871831,12.651734679714604]}"
130,0,0,3741.946649006568,15555.060399800539,1.4462986301508374,66,"{""type"":""Point"",""coordinates"":[77.00075236312934,9.662426699319862]}"
148,0,0,1941.7546469856052,9795.86909353733,1.296122393724302,45,"{""type"":""Point"",""coordinates"":[76.48579158275103,11.553029924125175]}"
153,0,0,1831.1958691626787,12867.49385535717,1.1920408398705475,67,"{""type"":""Point"",""coordinates"":[77.0689684559529,8.734322699919426]}"
159,0,0,2876.5091753147535,18124.635159790516,0.9668932816277105,55,"{""type"":""Point"",""coordinates"":[75.84015996525287,11.554861701116874]}"
181,0,0,1736.9425456752178,13888.848265886307,0.6451519521292459,87,"{""type"":""Point"",""coordinates"":[92.69121726408227,23.26041682765088]}"
184,1,0,693.935978954777,8189.337967202067,0.4771538191974522,52,"{""type"":""Point"",""coordinates"":[84.19345949343044,19.945150490020357]}"
189,0,0,1177.4882615428141,9414.577015697956,0.8326193420395351,59,"{""type"":""Point"",""coordinates"":[88.06976249024865,27.12902354909604]}"
190,0,1,1093.7451843380932,10836.020980238914,0.5547196999963784,64,"{""type"":""Point"",""coordinates"":[94.30470744112155,26.144718818876886]}"
193,1,0,-755.2710830619094,3074.619684100151,-0.5198558187604421,33,"{""type"":""Point"",""coordinates"":[75.51895226469472,33.30266208358138]}"
197,1,0,2728.038559380733,16312.293425559998,1.088876958693796,36,"{""type"":""Point"",""coordinates"":[76.20350604870286,10.642349080796045]}"
200,0,0,2174.2086209207773,17005.186347417533,0.6293004353207178,66,"{""type"":""Point"",""coordinates"":[92.3724413231369,25.29245287574684]}"
238,0,0,1709.5644288646054,14647.227535791695,0.5625786451980426,88,"{""type"":""Point"",""coordinates"":[92.86706657779709,25.14435732964585]}"
242,0,0,2295.2267638562244,12354.578335285187,1.302300618724962,68,"{""type"":""Point"",""coordinates"":[76.36340704973166,11.453447886300932]}"
258,0,0,1471.8391223545423,14644.280328512192,0.5511340940051863,55,"{""type"":""Point"",""coordinates"":[91.7252063212631,24.062262045531384]}"
290,0,0,803.2191040664911,9235.546211242676,0.5002064075263255,37,"{""type"":""Point"",""coordinates"":[94.84549183073406,26.042579593280372]}"
291,1,0,1321.5210564714416,8609.80307278037,0.8785314438427918,51,"{""type"":""Point"",""coordinates"":[81.84304911756394,18.772057046025978]}"
301,0,0,1854.3303447323742,15676.321099340916,0.618334645149577,27,"{""type"":""Point"",""coordinates"":[91.93662831924742,24.039530943618068]}"
312,0,1,920.7627833724018,8326.536932349205,0.5560978456215229,94,"{""type"":""Point"",""coordinates"":[93.73515900926073,25.482714094930007]}"
315,0,0,1527.4383345200367,12429.526330113411,0.5699032771217909,82,"{""type"":""Point"",""coordinates"":[93.33587604465372,24.910038624555963]}"
318,0,0,636.614311591924,7954.985656693578,0.4485776257473148,66,"{""type"":""Point"",""coordinates"":[84.19083861864486,19.750725570313595]}"
326,0,1,651.4599146965193,8167.464940905571,0.4627259430979312,61,"{""type"":""Point"",""coordinates"":[84.11635788254547,19.978432287961688]}"
327,0,0,-1122.9589736510407,5140.759337082505,-0.4003222475186073,33,"{""type"":""Point"",""coordinates"":[76.55517763180578,31.855373465404693]}"
331,1,0,518.1524593732884,6902.917054891586,0.5132929903978168,26,"{""type"":""Point"",""coordinates"":[79.83468136527304,19.17296165991661]}"
335,1,0,1018.6377127647402,8862.880732417107,0.5749942968609613,75,"{""type"":""Point"",""coordinates"":[93.52791898705044,25.31608670953883]}"
341,1,0,1418.6029836290672,8742.802265644073,1.0095931220825167,83,"{""type"":""Point"",""coordinates"":[81.58423882032635,17.578382461478697]}"
