loss_label,past_loss,rainfall_anomaly,rainfall_total,spi,treecover2000,period
0,0,-107.14745763055998,2584.798785030842,-0.1810604182835966,80,2001_2005
0,0,1545.7731293439865,17677.916177153587,0.5324919642072222,89,2001_2005
0,0,-1135.9508175120227,12346.21296042204,-0.4534710772352141,48,2001_2005
0,0,763.4182673491541,6565.432127177715,0.6409189837894406,25,2001_2005
0,0,2457.0791421622034,15353.112629115582,0.7680155708004108,39,2001_2005
0,0,1716.4665174619768,11504.777261018751,0.7006686850554914,80,2001_2005
0,0,1306.6244031794376,11035.165050983427,0.6375439631233324,89,2001_2005
1,0,1203.3804867986582,13102.26098293066,0.4983705896527443,88,2001_2005
0,0,1382.3941845297811,11852.462168335916,0.6770452246811811,73,2001_2005
0,0,1657.2089865296475,13050.531515955923,0.6500027909767626,87,2001_2005
0,0,-97.68000651119836,7098.560943003744,-0.0662187895149883,46,2001_2005
0,0,1941.104445266723,12659.661596775057,0.9373546533967284,30,2001_2005
0,0,238.8815305111657,6881.175669550896,0.2122684908182762,51,2001_2005
0,0,96.82870798744716,6978.219257622957,0.0692749249765197,46,2001_2005
0,0,776.6697297824085,7004.638493359089,0.6003807536291901,26,2001_2005
1,0,-158.28391317894875,6735.90255343914,-0.1220784600793771,64,2001_2005
0,0,501.3545275535698,7457.184091448784,0.359507012258919,50,2001_2005
0,0,969.5282521873704,12013.150883674622,0.440474503345553,90,2001_2005
0,0,-1212.622943601751,13244.49209919572,-0.44839938425323,59,2001_2005
1,0,-641.8548967885799,16970.028448561206,-0.1956633189387987,47,2001_2005
0,0,-500.0375950181096,5269.724172592163,-0.5062204175662526,27,2001_2005
1,0,2463.88433368802,12816.987225055696,0.8513908570994759,63,2001_2005
0,0,1150.5709999084463,9510.116752386091,0.6030125193733814,71,2001_2005
1,0,3461.9682735949755,19766.963338583708,0.8741315779355033,88,2001_2005
0,0,23.059245287215163,12121.552921891212,0.0085284610440879,47,2001_2005
1,0,-880.9029086422161,16862.226192831993,-0.2428026228565464,39,2001_2005
0,0,421.8742477023934,6938.4696611166,0.3700024486808905,26,2001_2005
0,0,711.789023126661,12584.410228133202,0.329363868266151,52,2001_2005
0,0,-875.9884260902527,12408.215664863586,-0.3463736553469976,74,2001_2005
0,0,1269.749665522575,12713.39670944214,0.5486736595016594,70,2001_2005
0,0,999.6630806386474,10491.784126400948,0.5099226779971302,78,2001_2005
0,0,2159.052767600957,16623.536807894707,0.6378298892788369,38,2001_2005
0,0,720.2193177520294,7933.221488952637,0.5179958714261951,40,2001_2005
1,0,1279.25954302221,12217.5307341218,0.569089909051944,88,2001_2005
0,0,1156.7625661544498,12169.224704265594,0.5219804501880376,91,2001_2005
0,0,391.2482959771533,13615.855126947165,0.1497645839345976,67,2001_2005
0,1,964.6048783481128,12464.92082875967,0.4149007084989972,81,2001_2005
